ts,app,node,pg,inst
19:12:17.695,1,2,15,0
19:12:18.103,1,2,15,0
19:12:18.533,1,2,15,0
19:12:18.960,1,2,15,0
19:12:19.375,1,2,15,0
19:12:19.799,1,2,15,0
19:12:20.228,1,2,15,0
19:12:20.648,1,2,15,0
19:12:21.071,1,2,15,0
19:12:21.485,1,2,15,0
19:12:21.921,1,2,15,0
19:12:22.364,1,2,15,0
19:12:22.789,1,2,15,0
19:12:23.201,1,2,15,0
19:12:23.626,1,2,15,0
19:12:24.061,1,2,15,0
19:12:24.495,1,2,15,0
19:12:24.918,1,2,15,0
19:12:25.332,1,2,15,0
19:12:25.763,1,2,15,0
19:12:26.172,1,2,15,0
19:12:26.594,1,2,15,0
19:12:27.014,1,2,15,0
19:12:27.438,1,2,15,0
19:12:27.868,1,2,15,0
19:12:28.282,1,2,15,0
19:12:28.702,1,2,15,0
19:12:29.123,1,2,15,0
19:12:29.547,1,2,15,0
19:12:29.973,1,2,15,0
19:12:30.389,1,2,15,0
19:12:30.816,1,2,15,0
19:12:31.255,1,2,15,0
19:12:31.679,1,2,15,0
19:12:32.093,1,2,15,0
19:12:32.531,1,2,15,0
19:12:32.962,1,2,15,0
19:12:33.378,1,2,15,0
19:12:33.799,1,2,15,0
19:12:34.226,1,2,15,0
19:12:34.655,1,2,15,0
19:12:35.081,1,2,15,0
19:12:35.503,1,2,15,0
19:12:35.922,1,2,15,0
19:12:36.352,1,2,15,0
19:12:36.772,1,2,15,0
19:12:37.191,1,2,15,0
19:12:37.608,1,2,15,0
19:12:38.038,1,2,15,0
19:12:38.456,1,2,15,0
19:12:38.878,1,2,15,0
19:12:39.295,1,2,15,0
19:12:39.720,1,2,15,0
19:12:40.153,1,2,15,0
19:12:40.571,1,2,15,0
19:12:40.988,1,2,15,0
19:12:41.411,1,2,15,0
19:12:41.843,1,2,15,0
19:12:42.277,1,2,15,0
19:12:42.689,1,2,15,0
19:12:43.106,1,2,15,0
19:12:43.523,1,2,15,0
19:12:43.944,1,2,15,0
19:12:44.360,1,2,15,0
19:12:44.793,1,2,15,0
19:12:45.223,1,2,15,0
19:12:45.654,1,2,15,0
19:12:46.067,1,2,15,0
19:12:46.493,1,2,15,0
19:12:46.907,1,2,15,0
19:12:47.339,1,2,15,0
19:12:47.759,1,2,15,0
19:12:48.184,1,2,15,0
19:12:48.608,1,2,15,0
19:12:49.036,1,2,15,0
19:12:49.455,1,2,15,0
19:12:49.876,1,2,15,0
19:12:50.318,1,2,15,0
19:12:50.746,1,2,15,0
19:12:51.168,1,2,15,0
19:12:51.578,1,2,15,0
19:12:51.998,1,2,15,0
19:12:52.411,1,2,15,0
19:12:52.839,1,2,15,0
19:12:53.265,1,2,15,0
19:12:53.682,1,2,15,0
19:12:54.110,1,2,15,0
19:12:54.545,1,2,15,0
19:12:54.953,1,2,15,0
19:12:55.374,1,2,15,0
19:12:55.786,1,2,16,0
19:12:56.209,1,2,15,0
19:12:56.626,1,2,15,0
19:12:57.040,1,2,15,0
19:12:57.452,1,2,15,0
19:12:57.876,1,2,15,0
19:12:58.299,1,2,15,0
19:12:58.716,1,2,15,0
19:12:59.146,1,2,15,0
19:12:59.573,1,2,15,0
19:12:59.988,1,2,15,0
19:13:00.403,1,2,15,0
19:13:00.839,1,2,15,0
19:13:01.263,1,2,15,0
19:13:01.673,1,2,15,0
19:13:02.097,1,2,15,0
19:13:02.529,1,2,15,0
19:13:02.966,1,2,15,0
19:13:03.381,1,2,15,0
19:13:03.789,1,2,15,0
19:13:04.212,1,2,15,0
19:13:04.636,1,2,15,0
19:13:05.051,1,2,15,0
19:13:05.470,1,2,15,0
19:13:05.894,1,2,15,0
19:13:06.320,1,2,15,0
19:13:06.744,1,2,15,0
19:13:07.155,1,2,15,0
19:13:07.559,1,2,15,0
19:13:07.983,1,2,15,0
19:13:08.407,1,2,15,0
19:13:08.826,1,2,15,0
19:13:09.240,1,2,15,0
19:13:09.664,1,2,15,0
19:13:10.094,1,2,15,0
19:13:10.520,1,2,15,0
